"","Date","Type","Title","Description","Source","News_Category","News_Article","Cyber_Target","Cyber_Target_Category","Cyber_Objective","Cyber_Source_2","Cyber_Source_3"
"10","2019-06-20","NEWS","Duterte under pressure over China boat attack","AnalysisPhilippinesDuterte under pressure over China boat attackAs abandoned fishermen ‘left to die’, public anger grows at Philippine president for apparently siding with Beijing							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/680621ba-9328-11e9-aea1-2b1d33ac3271","AnalysisPhilippines",NA,NA,NA,NA,NA,NA
"11","2019-06-07","NEWS","US and Russian navies in close Pacific encounter","US and Russian navies in close Pacific encounterDestroyer and cruiser came close to collision south of Japan							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/8bd6ea44-8940-11e9-a028-86cea8523dc2","",NA,NA,NA,NA,NA,NA
"12","2019-06-02","NEWS","Asian ministers warn US-China tensions raise risk of war","US-China trade disputeAsian ministers warn US-China tensions raise risk of warLessons of past recalled as Beijing and Washington talk tough at security forum 							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/12221dae-8512-11e9-a028-86cea8523dc2","US-China trade dispute",NA,NA,NA,NA,NA,NA
"13","2019-05-30","NEWS","Chinese and US navies must bring down tensions","Zhou BoChinese and US navies must bring down tensionsAmericans should think carefully about how to deal with their rising rival							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/bbd579b6-814a-11e9-a7f0-77d3101896ec","Zhou Bo",NA,NA,NA,NA,NA,NA
"14","2019-05-27","NEWS","Australia steps up Pacific presence with PM’s visit to Solomons","AustraliaAustralia steps up Pacific presence with PM’s visit to SolomonsScott Morrison’s trip comes in wake of growing Chinese influence in region							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/e3c00d26-8049-11e9-b592-5fe435b57a3b","Australia",NA,NA,NA,NA,NA,NA
"525","2019-05-06","CYBER INCIDENT","Chinese intelligence repurposed NSA tools to attack private companies - APT 3","The threat actor repurposed hacking tools used against them by the U.S. National Security Agency (NSA) to attack private companies in Asia and Europe. These attacks went undetected for two years.","https://www.symantec.com/blogs/threat-intelligence/buckeye-windows-zero-day-exploit",NA,NA,"Belgium, Luxembourg, The Philippines, and Vietnam","Private sector","Espionage","https://www.symantec.com/blogs/threat-intelligence/buckeye-windows-zero-day-exploit","https://www.symantec.com/blogs/threat-intelligence/buckeye-windows-zero-day-exploit"
"15","2019-04-28","NEWS","US warns China on aggressive acts by fishing boats and coast guard","US warns China on aggressive acts by fishing boats and coast guardNavy chief says Washington will use military rules of engagement to curb provocative behaviour							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/ab4b1602-696a-11e9-80c7-60ee53e6681d","",NA,NA,NA,NA,NA,NA
"16","2019-04-25","NEWS","China accuses France of illegal Taiwan Strait incursion","China accuses France of illegal Taiwan Strait incursionBeijing steps up rhetoric in sign of rising tensions over status of island nation							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/12f4ff22-674d-11e9-9adc-98bf1d35a056","",NA,NA,NA,NA,NA,NA
"17","2019-04-21","NEWS","China to showcase growing naval power with parade at sea","AnalysisChina to showcase growing naval power with parade at seaEvent aimed at building ties with other militaries and inspiring national pride							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/489d138a-627a-11e9-b285-3acd5d43599e","Analysis",NA,NA,NA,NA,NA,NA
"18","2019-04-08","NEWS","China’s maritime claims are a warning to Europe","beyondbricsEmerging marketsChina’s maritime claims are a warning to EuropeAttempts to change the status quo by force are a threat to the rule of law							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/1ab003c8-5790-11e9-91f9-b6515a54c5b1","beyondbricsEmerging markets",NA,NA,NA,NA,NA,NA
"522","2019-03-05","CYBER INCIDENT","Targeting of universities' maritime military secrets - Believed to be the work of Leviathan.","Chinese hackers targeted twenty-seven universities in the United States, Canada, and Southeast Asia as part of a scheme to steal research about maritime technology under development for military use.","https://www.wsj.com/articles/chinese-hackers-target-universities-in-pursuit-of-maritime-military-secrets-11551781800",NA,NA,"University of Hawaii, University of Washington, Massachusetts Institute of Technology , Pennsylvania State University, Duke University","Civil society, Private sector","Espionage","https://www.wsj.com/articles/chinese-hackers-target-universities-in-pursuit-of-maritime-military-secrets-11551781800","https://www.wsj.com/articles/chinese-hackers-target-universities-in-pursuit-of-maritime-military-secrets-11551781800"
"19","2019-03-01","NEWS","Pompeo assures Philippines of South China Sea defence","US politics & policyPompeo assures Philippines of South China Sea defenceBeijing’s island-building and militarisation constitute threat to sovereignty says US							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/d7bee564-3bf8-11e9-b72b-2c7f526ca5d0","US politics & policy",NA,NA,NA,NA,NA,NA
"20","2019-01-20","NEWS","Clouds gather over Putin-Abe island dispute talks","Clouds gather over Putin-Abe island dispute talksRussian officials seek to play down potential for agreement over Kurils islands							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/d43d043e-1afb-11e9-9e64-d150b3105d21","",NA,NA,NA,NA,NA,NA
"21","2018-11-28","NEWS","Russia and Japan push to resolve Kuril Islands dispute","AnalysisRussia and Japan push to resolve Kuril Islands disputeVladimir Putin and Shinzo Abe explore deal but chances of success remain slim							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/763b2eb2-f2f4-11e8-ae55-df4bf40f9d0d","Analysis",NA,NA,NA,NA,NA,NA
"22","2018-11-23","NEWS","Dominant China pushes for oil and gas deals in Asia","AnalysisDominant China pushes for oil and gas deals in AsiaJoint exploration with Brunei and Philippines could help strengthen maritime claims							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/fbc10072-eece-11e8-89c8-d36339d835c0","Analysis",NA,NA,NA,NA,NA,NA
"23","2018-11-21","NEWS","China and Philippines sign oil and gas deal","China and Philippines sign oil and gas dealBeijing and Manila deepen ties with memorandum of understanding over South China Sea							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/a4bf926e-ecb9-11e8-89c8-d36339d835c0","",NA,NA,NA,NA,NA,NA
"24","2018-11-01","NEWS","US-China military tension heightens over Taiwan","AnalysisUS-China military tension heightens over TaiwanObama-era talk of co-operation turns to confrontation under hardliners Trump and Xi							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/1fbbfa1c-dcab-11e8-8f50-cbae5495d92b","Analysis",NA,NA,NA,NA,NA,NA
"25","2018-10-25","NEWS","China defence chief criticises ‘dangerous’ US stance","China defence chief criticises ‘dangerous’ US stanceSigns of tension over Taiwan and South China Sea at People’s Liberation Army forum							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/09b064dc-d815-11e8-a854-33d6f82e62f8","",NA,NA,NA,NA,NA,NA
"26","2018-10-22","NEWS","Royal Navy vows to send ships through South China Sea","UK defence spendingRoyal Navy vows to send ships through South China SeaFirst Sea Lord says Britain must ‘showcase’ support for its Pacific allies							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/efe13b86-d507-11e8-ab8e-6be0dcf18713","UK defence spending",NA,NA,NA,NA,NA,NA
"27","2018-10-19","NEWS","South Korea plans blue-water naval fleet","South Korea plans blue-water naval fleetSeoul to operate in ‘far seas’ amid doubts over US commitment to north-east Asia							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/b598f570-d34c-11e8-a9f2-7574db66bcd5","",NA,NA,NA,NA,NA,NA
"28","2018-10-03","NEWS","Why the US-China stand-off is bad for investors","John RedwoodWhy the US-China stand-off is bad for investorsBehind the trade conflict is a long-term battle for power							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/d23fdec0-c58a-11e8-ae3e-791a4e15cf9e","John Redwood",NA,NA,NA,NA,NA,NA
"29","2018-09-17","NEWS","Japan admits to South China Sea naval exercises ","Japan admits to South China Sea naval exercises Tokyo’s acknowledgment could irritate Beijing despite warming relations							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/708a5af8-ba62-11e8-94b2-17176fbf93f5","",NA,NA,NA,NA,NA,NA
"532","2018-07-10","CYBER INCIDENT","Compromise of Cambodian election organizations - Believed to be the work of Leviathan","A threat actor compromises opposition parties, as well as organizations charged with overseeing the 2018 Cambodian elections, for espionage purposes.","https://www.fireeye.com/blog/threat-research/2018/07/chinese-espionage-group-targets-cambodia-ahead-of-elections.html",NA,NA,"Cambodia","Government, Private sector","Espionage","https://www.fireeye.com/blog/threat-research/2018/07/chinese-espionage-group-targets-cambodia-ahead-of-elections.html","https://www.fireeye.com/blog/threat-research/2018/07/chinese-espionage-group-targets-cambodia-ahead-of-elections.html"
"30","2018-07-01","NEWS","Washington and its allies need to contain Beijing","The FT ViewUS foreign policyWashington and its allies need to contain BeijingUS should not acquiesce to Chinese dominance of the South China Sea							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/fe1e25fa-7bbc-11e8-8e67-1e1a0846c475","The FT ViewUS foreign policy",NA,NA,NA,NA,NA,NA
"31","2018-06-28","NEWS","China rejects US concerns over South China Sea","China rejects US concerns over South China SeaXi Jinping tells Jim Mattis that China will not yield ‘one inch’ of disputed maritime area							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/fa0f1d78-7a7e-11e8-bc55-50daf11b720d","",NA,NA,NA,NA,NA,NA
"32","2018-06-27","NEWS","Mattis takes aim at China military expansionism","Mattis takes aim at China military expansionismUS defence secretary to deliver ‘medium tough’ message to Beijing as trade tensions flare							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/d86b2fe4-79a8-11e8-bc55-50daf11b720d","",NA,NA,NA,NA,NA,NA
"528","2018-06-26","CYBER INCIDENT","Rancor - Believed to use similar tools as DragonOK","This threat actor uses spear-phishing techniques to target political organizations in Southeast Asia, for the purpose of espionage.","https://researchcenter.paloaltonetworks.com/2018/06/unit42-rancor-targeted-attacks-south-east-asia-using-plaintee-ddkong-malware-families/",NA,NA,"Singapore, Cambodia","Government, Civil society","Espionage","https://researchcenter.paloaltonetworks.com/2018/06/unit42-rancor-targeted-attacks-south-east-asia-using-plaintee-ddkong-malware-families/","https://researchcenter.paloaltonetworks.com/2018/06/unit42-rancor-targeted-attacks-south-east-asia-using-plaintee-ddkong-malware-families/"
"527","2018-06-19","CYBER INCIDENT","Thrip - Also known as Billbug and Lotus Blossom.","This threat actor targets organizations in the satellite communications, telecommunications, geospatial-imaging, and defense sectors in the United States and Southeast Asia for espionage purposes.","https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets",NA,NA,"United States","Private sector","Espionage","https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets","https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets"
"33","2018-06-17","NEWS","S Korea embarks on war games over disputed islets","S Korea embarks on war games over disputed isletsSovereignty of Dokdo remains hot-button issue between Seoul and Tokyo							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/1a19a99a-7209-11e8-aa31-31da4279a601","",NA,NA,NA,NA,NA,NA
"34","2018-06-08","NEWS","China and Japan open hotline to prevent military clash","China and Japan open hotline to prevent military clashMove to stop accidental conflicts by air or sea is latest sign of warming relations							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/0f8a55be-6ae4-11e8-8cf3-0c230fa67aec","",NA,NA,NA,NA,NA,NA
"529","2018-06-05","CYBER INCIDENT","TempTick - Believed to be responsible for the targeting of South Korean actors prior to the meeting of Donald J. Trump and Kim Jong-un.","This threat actor targets organizations in the finance, defense, aerospace, technology, health-care, and automotive sectors and media organizations in East Asia for the purpose of espionage. This threat actor is also known for targeting a South Korean company that produces USB sticks generally used to transfer data to air-gapped networks.","https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642",NA,NA,"South Korea, Japan","Government, Private sector","","https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642","https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642"
"35","2018-06-02","NEWS","Mattis attacks Beijing for South China Sea ‘coercion’","Mattis attacks Beijing for South China Sea ‘coercion’US defence secretary also hits out at Xi Jinping’s Belt and Road Initiative							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/e35a488c-6615-11e8-90c2-9563a0613e56","",NA,NA,NA,NA,NA,NA
"36","2018-06-01","NEWS","SE Asia said to be losing maritime ‘arms race’","SE Asia said to be losing maritime ‘arms race’Philippine defence chief Lorenzana accuses Beijing of intimidation in South China Sea							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/a13938f6-6579-11e8-90c2-9563a0613e56","",NA,NA,NA,NA,NA,NA
